x,y,filename,category
<<<<<<< HEAD
-3.3992074,-5.216847,QSY-A-1517,Multifacial
-3.2279305,-4.9826603,QSY-B-320,Multifacial
-2.5749443,-1.2926432,QSY-B-072,Subspheroid
-3.1394708,-0.11361063,QSY-A-1098,Spheroid
-2.8461459,-2.6097198,Box,idealmodel
2.7993367,-3.0469482,QSY-A-1941,Subspheroid
2.823498,-3.772774,QSY-A-0682,Polyhedron
-2.9949992,-4.6878467,Discoid,idealmodel
-3.1444705,-3.2761493,QSY-A-2049,Multifacial
3.1416905,-2.953779,QSY-A-2213,Subspheroid
-2.7705889,-4.216141,QSY-A-1307,Multifacial
1.3703023,-3.517325,QSY-A-0700,Polyhedron
-0.91273576,-3.3713765,QSY-A-0680,Multifacial
3.741587,-2.8126507,QSY-A-2797,Spheroid
-2.0974898,-4.280095,QSY-A-0579,Multifacial
-3.3615584,-3.0835154,QSY-A-0699,Multifacial
-1.6915467,-4.014506,QSY-A-0702,Polyhedron
2.511886,-3.9801896,QSY-A-2600,Spheroid
3.454485,-2.5247316,Rounded_cube,idealmodel
-3.0681784,-2.8598042,QSY-B-168,Multifacial
-1.2551887,-3.6155274,QSY-A-2611,Polyhedron
3.397792,-3.0594034,QSY-A-2723,Spheroid
-3.189009,-3.5502033,QSY-A-1333,Multifacial
-0.7023339,-2.9485786,QSY-B-186,Polyhedron
2.1037714,-3.682467,QSY-A-1304,Polyhedron
-3.3322814,-5.1493235,QSY-A-0570,Multifacial
-3.0638928,-0.21903469,Ellipsoid,idealmodel
-3.0121367,-3.8275106,QSY-A-2048,Subspheroid
-3.1033769,-0.3976325,QSY-B-189,Subspheroid
-2.6505096,-2.2870166,QSY-A-2381,Multifacial
3.1801682,-2.6201403,QSY-A-1246,Subspheroid
-2.5957012,-0.3919276,QSY-A-2599,Polyhedron
-2.3254187,-0.5317851,QSY-A-0256,Polyhedron
3.7045648,-2.8930247,Sphere,idealmodel
3.0754406,-2.8020265,QSY-A-2717,Subspheroid
-2.4305897,-4.4466686,QSY-A-0576,Polyhedron
0.34597036,-3.2173095,QSY-B-159,Polyhedron
-2.5823135,-0.8661099,QSY-B-435,Polyhedron
-2.1328754,-1.0600476,QSY-A-1111,Polyhedron
2.7523334,-4.046228,QSY-A-1777,Spheroid
-0.541862,-2.8202775,QSY-B-140,Polyhedron
1.5615621,-3.7229087,QSY-B-003,Spheroid
-0.31931704,-2.9592352,QSY-A-0938,Polyhedron
1.6038252,-3.7698638,QSY-A-1584,Polyhedron
1.1864529,-3.6584635,QSY-A-0735,Polyhedron
-2.9198031,-4.300806,QSY-A-0562,Multifacial
-2.7162027,-0.8079281,QSY-B-136,Polyhedron
=======
0.13848755,1.4793038,Sphere,idealmodel
14.759177,7.513951,Ellipsoid,idealmodel
0.90416396,1.1400435,Rounded_cube,idealmodel
12.322507,6.1709795,Box,idealmodel
10.330428,6.101713,Discoid,idealmodel
13.836742,7.4259033,QSY-A-0256,Polyhedron
10.229225,5.8817716,QSY-A-0562,Multifacial
10.400143,6.5838227,QSY-A-0570,Multifacial
9.678582,6.0528183,QSY-A-0576,Polyhedron
9.336547,6.1996703,QSY-A-0579,Multifacial
8.223282,6.3879237,QSY-A-0680,Multifacial
1.5178863,2.1553905,QSY-A-0682,Subspheroid
11.778048,5.5675263,QSY-A-0699,Multifacial
1.6535522,3.4626076,QSY-A-0700,Polyhedron
8.928194,6.319064,QSY-A-0702,Polyhedron
2.102959,3.6700435,QSY-A-0735,Polyhedron
7.7688966,6.4125648,QSY-A-0938,Polyhedron
14.791345,7.5339985,QSY-A-1098,Spheroid
13.497496,7.4830756,QSY-A-1111,Polyhedron
0.5563434,1.3200661,QSY-A-1246,Subspheroid
1.4533584,2.7281058,QSY-A-1304,Polyhedron
9.990387,5.757957,QSY-A-1307,Multifacial
11.405608,5.3865576,QSY-A-1333,Multifacial
10.7737255,6.6712317,QSY-A-1517,Multifacial
2.0248353,3.5684342,QSY-A-1584,Polyhedron
1.572376,2.2332537,QSY-A-1777,Spheroid
0.89897346,1.7331613,QSY-A-1941,Subspheroid
11.056689,5.513437,QSY-A-2048,Polyhedron
11.538046,5.6840205,QSY-A-2049,Multifacial
0.71939594,0.98489356,QSY-A-2213,Subspheroid
12.663165,6.5706534,QSY-A-2381,Multifacial
14.158534,7.5726085,QSY-A-2599,Polyhedron
1.7220113,2.4602978,QSY-A-2600,Spheroid
8.52031,6.4317493,QSY-A-2611,Polyhedron
0.87979096,1.2526411,QSY-A-2717,Subspheroid
0.5845642,1.6074368,QSY-A-2723,Spheroid
0.15432264,1.4757681,QSY-A-2797,Spheroid
1.862714,3.3502104,QSY-B-003,Spheroid
13.343369,7.0752897,QSY-B-072,Subspheroid
13.995901,7.486856,QSY-B-136,Polyhedron
7.602699,6.300171,QSY-B-140,Polyhedron
7.286052,6.125203,QSY-B-159,Polyhedron
11.996588,5.8657293,QSY-B-168,Multifacial
7.8656483,6.6092114,QSY-B-186,Polyhedron
14.490291,7.6360016,QSY-B-189,Subspheroid
10.490625,6.418954,QSY-B-320,Multifacial
13.69672,7.1987514,QSY-B-435,Polyhedron
>>>>>>> 8bd14e3a9d2bc8117ae46ca6ebad0bcd745faf3b
