degree,variance
<<<<<<< HEAD
0.000000000000000000e+00,5.245085805990770026e-33
1.000000000000000000e+00,7.073872629261992446e-07
2.000000000000000000e+00,1.960251542292532100e-04
3.000000000000000000e+00,1.081857898436750648e-05
4.000000000000000000e+00,6.619894557524027502e-06
5.000000000000000000e+00,6.711238350154502831e-07
6.000000000000000000e+00,3.193616338769180862e-07
7.000000000000000000e+00,7.674098623513379274e-08
8.000000000000000000e+00,7.518463234876550806e-08
9.000000000000000000e+00,1.537054714099710803e-08
1.000000000000000000e+01,1.332689645181704125e-08
1.100000000000000000e+01,2.997664517146420902e-09
1.200000000000000000e+01,3.406411024167304515e-09
1.300000000000000000e+01,1.031810135208199973e-09
1.400000000000000000e+01,7.895290086769053751e-10
1.500000000000000000e+01,3.451863699446502278e-10
1.600000000000000000e+01,3.131376159637099169e-10
1.700000000000000000e+01,1.061139516342296925e-10
1.800000000000000000e+01,1.520985355865964604e-10
1.900000000000000000e+01,5.054681912095024084e-11
2.000000000000000000e+01,6.437800563081577415e-11
=======
0.000000000000000000e+00,7.343120128387077627e-33
1.000000000000000000e+00,7.073872629261992446e-07
2.000000000000000000e+00,1.960251542292541858e-04
3.000000000000000000e+00,1.081857898436748107e-05
4.000000000000000000e+00,6.619894557524049524e-06
5.000000000000000000e+00,6.711238350154480596e-07
6.000000000000000000e+00,3.193616338769192509e-07
7.000000000000000000e+00,7.674098623513379274e-08
8.000000000000000000e+00,7.518463234876992851e-08
9.000000000000000000e+00,1.537054714099713449e-08
1.000000000000000000e+01,1.332689645181702471e-08
1.100000000000000000e+01,2.997664517146415939e-09
1.200000000000000000e+01,3.406411024167710660e-09
1.300000000000000000e+01,1.031810135208196044e-09
1.400000000000000000e+01,7.895290086770387580e-10
1.500000000000000000e+01,3.451863699446489870e-10
1.600000000000000000e+01,3.131376159637626496e-10
1.700000000000000000e+01,1.061139516342294987e-10
1.800000000000000000e+01,1.520985355865962278e-10
1.900000000000000000e+01,5.054681912095020853e-11
2.000000000000000000e+01,6.437800563081088862e-11
>>>>>>> 8bd14e3a9d2bc8117ae46ca6ebad0bcd745faf3b
